iter	Passed	Remaining
406	6713	75766
407	6731	75757
408	6744	75702
409	6761	75700
410	6781	75722
411	6796	75679
412	6815	75699
413	6839	75758
414	6855	75737
415	6874	75755
416	6888	75705
417	6906	75706
418	6920	75658
419	6933	75610
420	6948	75576
421	6962	75526
422	6974	75467
423	6996	75512
424	7008	75439
425	7019	75365
426	7032	75312
427	7047	75284
428	7059	75217
429	7071	75152
430	7086	75120
431	7099	75067
432	7112	75014
433	7132	75043
434	7153	75067
435	7166	75016
436	7180	74980
437	7197	74964
438	7213	74941
439	7247	75112
440	7264	75097
441	7276	75034
442	7291	75010
443	7310	75018
444	7324	74972
445	7340	74952
446	7356	74930
447	7372	74907
448	7386	74868
449	7403	74853
450	7421	74856
451	7433	74794
452	7450	74787
453	7463	74738
454	7479	74709
455	7495	74688
456	7516	74722
457	7530	74679
458	7551	74710
459	7572	74738
460	7593	74770
461	7605	74703
462	7622	74691
463	7638	74676
464	7651	74618
465	7670	74626
466	7683	74576
467	7700	74571
468	7713	74520
469	7744	74640
470	7769	74709
471	7788	74720
472	7803	74685
473	7814	74621
474	7826	74556
475	7841	74525
476	7860	74538
477	7873	74484
478	7888	74457
479	7905	74440
480	7918	74398
481	7936	74393
482	7950	74351
483	7966	74334
484	7981	74298
485	7993	74241
486	8005	74188
487	8022	74176
488	8035	74127
489	8047	74074
490	8063	74045
491	8077	74009
492	8089	73952
493	8110	73978
494	8122	73924
495	8139	73915
496	8152	73868
497	8165	73817
498	8184	73820
499	8196	73772
500	8219	73808
501	8237	73805
502	8252	73776
503	8263	73719
504	8279	73698
505	8299	73713
506	8318	73717
507	8338	73737
508	8354	73713
509	8371	73701
510	8396	73760
511	8410	73719
512	8422	73671
513	8442	73686
514	8458	73659
515	8478	73673
516	8490	73626
517	8506	73606
518	8519	73556
519	8535	73537
520	8556	73561
521	8573	73551
522	8592	73552
523	8618	73616
524	8630	73560
525	8654	73615
526	8668	73578
527	8686	73574
528	8702	73550
529	8723	73572
530	8737	73535
531	8753	73519
532	8772	73517
533	8786	73483
534	8801	73458
535	8813	73404
536	8827	73368
537	8847	73376
538	8859	73321
539	8870	73265
540	8888	73263
541	8907	73265
542	8919	73212
543	8940	73235
544	8958	73231
545	8974	73207
546	8988	73174
547	9002	73137
548	9015	73093
549	9030	73065
550	9044	73029
551	9061	73017
552	9072	72960
553	9088	72940
554	9102	72902
555	9114	72853
556	9131	72841
557	9147	72820
558	9166	72820
559	9178	72769
560	9194	72755
561	9212	72753
562	9229	72735
563	9249	72745
564	9265	72726
565	9278	72690
566	9292	72650
567	9305	72612
568	9319	72573
569	9330	72519
570	9351	72539
571	9394	72726
572	9408	72688
573	9420	72640
574	9442	72669
575	9470	72738
576	9487	72723
577	9502	72695
578	9515	72655
579	9528	72610
580	9546	72605
581	9566	72623
582	9584	72611
583	9608	72656
584	9625	72646
585	9648	72675
586	9666	72675
587	9680	72639
588	9700	72646
589	9724	72685
590	9738	72654
591	9750	72602
592	9767	72590
593	9782	72560
594	9799	72548
595	9819	72558
596	9832	72518
597	9845	72475
598	9862	72459
599	9880	72455
600	9892	72405
601	9905	72367
602	9919	72330
603	9933	72296
604	9944	72240
605	9959	72217
606	9972	72171
607	9983	72115
608	9996	72079
609	10008	72029
610	10022	71994
611	10038	71974
612	10050	71927
613	10063	71884
614	10082	71892
615	10095	71848
616	10106	71794
617	10119	71750
618	10134	71728
619	10145	71674
620	10159	71638
621	10171	71590
622	10189	71586
623	10202	71545
624	10214	71504
625	10228	71466
626	10241	71426
627	10257	71409
628	10272	71385
629	10284	71337
630	10298	71305
631	10310	71257
632	10321	71210
633	10339	71204
634	10356	71193
635	10374	71183
636	10384	71129
637	10397	71090
638	10413	71072
639	10425	71023
640	10443	71018
641	10458	70991
642	10483	71034
643	10495	70990
644	10508	70951
645	10519	70903
646	10547	70960
647	10559	70921
648	10572	70881
649	10591	70881
650	10602	70826
651	10615	70793
652	10631	70770
653	10642	70720
654	10657	70694
655	10670	70657
656	10684	70626
657	10700	70612
658	10714	70576
659	10727	70542
660	10739	70497
661	10752	70461
662	10767	70437
663	10779	70389
664	10790	70342
665	10803	70306
666	10816	70264
667	10828	70223
668	10841	70188
669	10853	70140
670	10888	70248
671	10910	70267
672	10925	70244
673	10938	70204
674	10953	70182
675	10965	70138
676	10977	70098
677	10991	70069
678	11003	70024
679	11016	69988
680	11032	69969
681	11045	69933
682	11057	69893
683	11076	69891
684	11093	69881
685	11108	69859
686	11130	69880
687	11145	69856
688	11166	69869
689	11185	69870
690	11202	69858
691	11215	69818
692	11230	69800
693	11245	69773
694	11256	69726
695	11268	69684
696	11281	69645
697	11292	69599
698	11308	69581
699	11323	69561
700	11335	69515
701	11363	69571
702	11375	69531
703	11388	69496
704	11404	69475
705	11415	69432
706	11428	69398
707	11440	69352
708	11451	69308
709	11463	69263
710	11474	69220
711	11486	69174
712	11505	69176
713	11522	69164
714	11542	69175
715	11559	69164
716	11572	69125
717	11583	69081
718	11598	69059
719	11611	69024
720	11623	68984
721	11638	68962
722	11650	68921
723	11662	68881
724	11673	68834
725	11688	68807
726	11701	68778
727	11716	68755
728	11729	68719
729	11745	68703
730	11761	68683
731	11776	68661
732	11788	68624
733	11801	68590
734	11816	68570
735	11831	68543
736	11842	68498
737	11861	68499
738	11875	68474
739	11887	68433
740	11898	68388
741	11911	68357
742	11922	68310
743	11938	68293
744	11954	68277
745	11967	68242
746	11982	68223
747	11995	68187
748	12013	68181
749	12024	68140
750	12040	68124
751	12053	68090
752	12065	68051
753	12080	68029
754	12093	67994
755	12113	68002
756	12124	67960
757	12136	67921
758	12151	67896
759	12166	67875
760	12178	67840
761	12196	67832
762	12208	67794
763	12219	67752
764	12232	67717
765	12243	67674
766	12255	67639
767	12269	67611
768	12281	67569
769	12293	67536
770	12305	67498
771	12317	67457
772	12329	67419
773	12347	67418
774	12361	67388
775	12380	67393
776	12393	67356
777	12414	67371
778	12426	67334
779	12439	67302
780	12453	67276
781	12465	67236
782	12477	67200
783	12494	67187
784	12507	67155
785	12517	67111
786	12530	67077
787	12543	67046
788	12556	67017
789	12570	66987
790	12584	66964
791	12597	66930
792	12620	66954
793	12633	66920
794	12644	66881
795	12657	66850
796	12670	66816
797	12683	66784
798	12695	66749
799	12708	66718
800	12725	66707
801	12739	66681
802	12750	66644
803	12767	66629
804	12783	66615
805	12796	66587
806	12810	66562
807	12825	66540
808	12838	66507
809	12851	66480
810	12863	66442
811	12875	66408
812	12895	66414
813	12909	66385
814	12924	66367
815	12936	66329
816	12948	66293
817	12961	66267
818	12975	66241
819	12991	66222
820	13007	66207
821	13021	66183
822	13034	66155
823	13052	66150
824	13069	66138
825	13083	66112
826	13094	66073
827	13106	66041
828	13120	66012
829	13139	66012
830	13153	65988
831	13168	65969
832	13184	65953
833	13205	65962
834	13224	65963
835	13250	66000
836	13268	65994
837	13293	66022
838	13309	66008
839	13322	65979
840	13338	65964
841	13363	65991
842	13381	65985
843	13393	65952
844	13410	65940
845	13429	65941
846	13443	65918
847	13456	65887
848	13479	65903
849	13499	65911
850	13528	65955
851	13554	65991
852	13577	66008
853	13592	65987
854	13607	65968
855	13623	65954
856	13636	65921
857	13659	65939
858	13672	65911
859	13687	65892
860	13702	65870
861	13722	65876
862	13735	65845
863	13750	65824
864	13775	65851
865	13788	65823
866	13803	65800
867	13818	65780
868	13837	65780
869	13853	65765
870	13876	65783
871	13894	65777
872	13911	65764
873	13929	65757
874	13943	65731
875	13956	65705
876	13972	65689
877	13988	65672
878	13999	65632
879	14020	65643
880	14035	65620
881	14050	65600
882	14072	65611
883	14092	65614
884	14110	65611
885	14130	65613
886	14143	65583
887	14159	65569
888	14177	65559
889	14190	65533
890	14206	65513
891	14224	65510
892	14242	65502
893	14260	65496
894	14278	65488
895	14295	65478
896	14315	65479
897	14329	65456
898	14348	65454
899	14369	65462
900	14382	65431
901	14395	65400
902	14407	65369
903	14424	65354
904	14437	65328
905	14463	65356
906	14475	65321
907	14494	65322
908	14509	65300
909	14524	65278
910	14538	65256
911	14554	65242
912	14570	65226
913	14591	65232
914	14607	65213
915	14619	65181
916	14633	65158
917	14647	65130
918	14664	65122
919	14687	65133
920	14703	65121
921	14720	65106
922	14746	65136
923	14760	65110
924	14782	65124
925	14796	65098
926	14810	65073
927	14828	65064
928	14843	65046
929	14869	65072
930	14890	65079
931	14907	65066
932	14920	65039
933	14939	65034
934	14951	65003
935	14965	64978
936	14983	64971
937	14996	64940
938	15008	64910
939	15033	64932
940	15048	64910
941	15072	64930
942	15086	64905
943	15100	64882
944	15114	64857
945	15128	64831
946	15152	64848
947	15166	64825
948	15192	64850
949	15208	64834
950	15227	64832
951	15239	64800
952	15263	64818
953	15281	64808
954	15311	64851
955	15328	64839
956	15349	64845
957	15378	64885
958	15392	64859
959	15405	64833
960	15431	64858
961	15467	64925
962	15488	64927
963	15505	64919
964	15520	64895
965	15534	64873
966	15547	64841
967	15566	64837
968	15581	64817
969	15592	64782
970	15605	64754
971	15620	64733
972	15633	64701
973	15645	64671
974	15658	64643
975	15677	64638
976	15696	64634
977	15713	64621
978	15725	64589
979	15743	64580
980	15757	64556
981	15773	64539
982	15786	64509
983	15798	64479
984	15811	64449
985	15823	64418
986	15838	64396
987	15854	64380
988	15865	64344
989	15877	64310
990	15907	64354
991	15929	64358
992	15943	64334
993	15986	64430
994	15999	64399
995	16018	64394
996	16030	64362
997	16053	64375
998	16067	64351
999	16087	64348
1000	16103	64334
1001	16116	64304
1002	16132	64287
1003	16145	64258
1004	16159	64237
1005	16176	64223
1006	16189	64193
1007	16207	64187
1008	16219	64152
1009	16230	64117
1010	16250	64118
1011	16265	64096
1012	16278	64069
1013	16297	64064
1014	16319	64071
1015	16332	64045
1016	16351	64040
1017	16370	64034
1018	16387	64020
1019	16405	64013
1020	16417	63981
1021	16435	63972
1022	16463	64005
1023	16476	63973
1024	16495	63970
1025	16511	63954
1026	16532	63956
1027	16544	63925
1028	16561	63911
1029	16578	63897
1030	16589	63864
1031	16605	63847
1032	16619	63821
1033	16636	63810
1034	16651	63788
1035	16666	63771
1036	16680	63745
1037	16692	63713
1038	16707	63696
1039	16724	63682
1040	16740	63664
1041	16767	63690
1042	16781	63668
1043	16795	63640
1044	16808	63613
1045	16821	63587
1046	16834	63560
1047	16850	63543
1048	16862	63511
1049	16873	63478
1050	16887	63450
1051	16898	63419
1052	16912	63394
1053	16929	63382
1054	16942	63355
1055	16954	63323
1056	16969	63303
1057	16989	63299
1058	17013	63315
1059	17030	63301
1060	17047	63288
1061	17069	63294
1062	17085	63277
1063	17099	63253
1064	17115	63240
1065	17129	63215
1066	17148	63211
1067	17160	63179
1068	17175	63157
1069	17194	63154
1070	17211	63139
1071	17224	63114
1072	17237	63087
1073	17256	63080
1074	17270	63057
1075	17287	63044
1076	17302	63023
1077	17313	62990
1078	17331	62980
1079	17343	62950
1080	17355	62921
1081	17369	62897
1082	17386	62882
1083	17403	62872
1084	17415	62839
1085	17430	62819
1086	17443	62794
1087	17455	62761
1088	17471	62745
1089	17489	62737
1090	17515	62758
1091	17529	62732
1092	17558	62762
1093	17575	62749
1094	17590	62731
1095	17609	62727
1096	17623	62702
1097	17642	62698
1098	17662	62695
1099	17675	62668
1100	17692	62656
1101	17705	62629
1102	17721	62610
1103	17737	62596
1104	17750	62569
1105	17764	62545
1106	17783	62539
1107	17796	62514
1108	17809	62486
1109	17825	62469
1110	17842	62456
1111	17853	62423
1112	17866	62396
1113	17878	62367
1114	17889	62333
1115	17905	62316
1116	17919	62294
1117	17931	62264
1118	17944	62238
1119	17957	62210
1120	17969	62179
1121	17986	62168
1122	18007	62169
1123	18028	62169
1124	18043	62150
1125	18064	62151
1126	18077	62123
1127	18104	62146
1128	18119	62127
1129	18143	62137
1130	18159	62120
1131	18176	62106
1132	18192	62092
1133	18205	62064
1134	18223	62056
1135	18236	62030
1136	18251	62008
1137	18271	62005
1138	18283	61979
1139	18296	61952
1140	18310	61929
1141	18322	61898
1142	18339	61885
1143	18351	61855
1144	18374	61863
1145	18387	61835
1146	18407	61835
1147	18419	61805
1148	18433	61780
1149	18445	61751
1150	18456	61720
1151	18468	61690
1152	18481	61664
1153	18493	61635
1154	18507	61612
1155	18523	61597
1156	18538	61574
1157	18550	61548
1158	18565	61527
1159	18578	61500
1160	18591	61474
1161	18604	61450
1162	18618	61427
1163	18636	61417
1164	18649	61391
1165	18663	61368
1166	18675	61339
1167	18687	61309
1168	18704	61297
1169	18716	61268
1170	18729	61241
1171	18743	61220
1172	18764	61221
1173	18776	61192
1174	18799	61198
1175	18813	61176
1176	18837	61184
1177	18855	61176
1178	18874	61170
1179	18897	61176
1180	18919	61181
1181	18934	61160
1182	18954	61156
1183	18971	61143
1184	18982	61112
1185	19004	61114
1186	19018	61091
1187	19033	61073
1188	19045	61043
1189	19059	61022
1190	19079	61019
1191	19094	60998
1192	19110	60983
1193	19122	60954
1194	19136	60932
1195	19149	60908
1196	19162	60882
1197	19173	60850
1198	19192	60842
1199	19216	60852
1200	19230	60831
1201	19246	60814
1202	19263	60801
1203	19279	60784
1204	19294	60764
1205	19309	60747
1206	19323	60722
1207	19336	60697
1208	19351	60679
1209	19366	60661
1210	19381	60642
1211	19397	60625
1212	19409	60595
1213	19421	60566
1214	19435	60545
1215	19448	60521
1216	19462	60497
